,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 00:00:00,open,long,97.741,,,9999.9998,0.0,0.0
1,2024-01-22 02:00:00,hold,long,,,,9999.9998,-22.100400000000363,21.89959999999941
2,2024-01-22 03:00:00,hold,long,,,,9999.9998,-39.90060000000009,34.599399999998944
3,2024-01-22 04:00:00,close,neutral,,,-50.0,9949.9996,-62.40079999999952,29.799199999998763
4,2024-01-23 08:00:00,open,short,97.258,,,9949.999399999999,0.0,0.0
5,2024-01-23 09:00:00,hold,short,,,,9949.999399999999,-25.200200000000955,6.59980000000025
6,2024-01-23 10:00:00,hold,short,,,,9949.999399999999,-39.90040000000151,23.199599999999933
7,2024-01-23 11:00:00,hold,short,,,,9949.999399999999,-47.10060000000178,38.099400000000024
8,2024-01-23 12:00:00,close,neutral,,,-50.0,9899.999199999998,-61.40080000000185,34.49919999999989
9,2024-01-24 20:00:00,open,long,97.12,,,9899.998999999998,0.0,0.0
10,2024-01-24 21:00:00,hold,long,,,,9899.998999999998,-12.200199999999988,0.2998000000000114
11,2024-01-24 22:00:00,hold,long,,,,9899.998999999998,-23.100400000000874,-3.4004000000006025
12,2024-01-24 23:00:00,hold,long,,,,9899.998999999998,-40.100600000001045,-11.200600000000899
13,2024-01-25 00:00:00,hold,long,,,,9899.998999999998,-22.300199999999897,-12.900200000000488
14,2024-01-25 01:00:00,hold,long,,,,9899.998999999998,-41.800400000000636,-16.100400000001557
15,2024-01-25 02:00:00,close,neutral,,,-50.0,9849.998799999998,-54.50060000000159,-17.40060000000208
16,2024-01-25 13:00:00,open,long,97.216,,,9849.998599999997,-54.50060000000159,-17.40060000000208
17,2024-01-25 14:00:00,close,neutral,,,-50.0,9799.998399999997,-56.700800000000726,-13.900800000000999
18,2024-01-25 15:00:00,open,long,97.337,,,9799.998199999996,-56.700800000000726,-13.900800000000999
19,2024-01-25 16:00:00,close,neutral,,,-50.0,9749.997999999996,-83.70100000000176,-12.10100000000093
20,2024-01-25 16:00:00,open,long,97.223,,,9749.997799999996,-83.70100000000176,-12.10100000000093
21,2024-01-25 17:00:00,close,neutral,,,-50.0,9699.997599999995,-103.60120000000157,-9.801200000001316
22,2024-01-26 01:00:00,open,short,97.227,,,9699.997399999995,0.0,0.0
23,2024-01-26 02:00:00,hold,short,,,,9699.997399999995,-6.800199999999784,9.999800000000853
24,2024-01-26 03:00:00,hold,short,,,,9699.997399999995,-9.600399999998944,19.999600000001706
25,2024-01-26 04:00:00,hold,short,,,,9699.997399999995,-18.500599999998805,25.899400000001457
26,2024-01-26 05:00:00,hold,short,,,,9699.997399999995,-32.20079999999885,23.39920000000231
27,2024-01-26 06:00:00,hold,short,,,,9699.997399999995,-49.000999999998065,12.399000000002367
28,2024-01-26 07:00:00,close,neutral,,,-50.0,9649.997199999994,-71.30119999999796,0.3988000000033338
29,2024-01-26 15:00:00,open,long,97.508,,,9649.996999999994,-71.30119999999796,0.3988000000033338
30,2024-01-26 16:00:00,close,neutral,,,-50.0,9599.996799999994,-77.00139999999818,7.098600000004061
31,2024-01-26 20:00:00,open,short,97.449,,,9599.996599999993,-77.00139999999818,7.098600000004061
32,2024-01-26 21:00:00,close,neutral,,,-50.0,9549.996399999993,-81.7015999999979,8.598400000004117
33,2024-01-29 01:00:00,open,short,97.459,,,9549.996199999992,0.0,0.0
34,2024-01-29 02:00:00,hold,short,,,,9549.996199999992,-10.600199999999454,1.5998000000005344
35,2024-01-29 03:00:00,hold,short,,,,9549.996199999992,-30.50039999999926,-2.3003999999996134
36,2024-01-29 04:00:00,close,neutral,,,-50.0,9499.995999999992,-51.3005999999991,-13.200599999999078
37,2024-01-29 09:00:00,open,short,97.53,,,9499.995799999992,-51.3005999999991,-13.200599999999078
38,2024-01-29 10:00:00,close,neutral,,,-50.0,9449.995599999991,-56.40079999999929,-9.30079999999893
39,2024-01-30 00:00:00,open,long,97.511,,,9449.99539999999,0.0,0.0
40,2024-01-30 01:00:00,hold,long,,,,9449.99539999999,-3.0002000000001137,3.699800000000614
41,2024-01-30 02:00:00,hold,long,,,,9449.99539999999,-20.40039999999935,8.499600000000795
42,2024-01-30 03:00:00,hold,long,,,,9449.99539999999,-28.10059999999917,15.499400000001533
43,2024-01-30 04:00:00,hold,long,,,,9449.99539999999,-38.1007999999986,14.89920000000151
44,2024-01-30 05:00:00,hold,long,,,,9449.99539999999,-49.10099999999854,16.599000000002523
45,2024-01-30 06:00:00,close,neutral,,,-50.0,9399.99519999999,-65.90119999999776,8.598800000002694
46,2024-01-30 10:00:00,open,short,97.328,,,9399.99499999999,-65.90119999999776,8.598800000002694
47,2024-01-30 11:00:00,close,neutral,,,-50.0,9349.99479999999,-70.00139999999745,24.198600000003285
48,2024-01-30 17:00:00,open,short,97.278,,,9349.994599999989,-70.00139999999745,24.198600000003285
49,2024-01-30 18:00:00,close,neutral,,,-50.0,9299.994399999989,-86.10159999999615,25.998400000003354
50,2024-01-31 15:00:00,open,long,97.289,,,9299.994199999988,0.0,0.0
51,2024-01-31 17:00:00,close,neutral,,,-50.0,9249.993999999988,-99.80040000000048,-15.800400000000124
52,2024-02-01 12:00:00,open,short,95.609,,,9249.993799999987,0.0,0.0
53,2024-02-01 13:00:00,hold,short,,,,9249.993799999987,-11.900199999999977,6.799799999999784
54,2024-02-01 14:00:00,hold,short,,,,9249.993799999987,-43.900400000000715,-3.2004000000010686
55,2024-02-01 15:00:00,close,neutral,,,-50.0,9199.993599999987,-64.80060000000103,-1.4006000000010004
56,2024-02-02 00:00:00,open,long,96.221,,,9199.993399999987,0.0,0.0
57,2024-02-02 01:00:00,hold,long,,,,9199.993399999987,-3.9002000000001478,10.699799999999932
58,2024-02-02 02:00:00,hold,long,,,,9199.993399999987,0.7995999999995562,24.2995999999995
59,2024-02-02 03:00:00,hold,long,,,,9199.993399999987,4.5993999999992266,46.49939999999892
60,2024-02-02 04:00:00,hold,long,,,,9199.993399999987,25.39919999999907,80.19919999999925
61,2024-02-02 05:00:00,close,neutral,,,100.0,9299.993199999986,50.69899999999908,115.49899999999869
62,2024-02-05 00:00:00,open,long,96.625,,,9299.992999999986,0.0,0.0
63,2024-02-05 01:00:00,hold,long,,,,9299.992999999986,-21.000199999999374,1.5998000000005344
64,2024-02-05 02:00:00,hold,long,,,,9299.992999999986,-33.800399999999385,4.799600000000182
65,2024-02-05 03:00:00,close,neutral,,,-50.0,9249.992799999985,-54.40059999999969,-0.30060000000001175
66,2024-02-05 09:00:00,open,long,96.704,,,9249.992599999985,-54.40059999999969,-0.30060000000001175
67,2024-02-05 10:00:00,close,neutral,,,-50.0,9199.992399999985,-68.00079999999926,3.599200000000136
68,2024-02-05 10:00:00,open,long,96.611,,,9199.992199999984,-68.00079999999926,3.599200000000136
69,2024-02-05 11:00:00,close,neutral,,,-50.0,9149.991999999984,-80.70100000000022,6.398999999999295
70,2024-02-06 03:00:00,open,long,96.463,,,9149.991799999983,0.0,0.0
71,2024-02-06 04:00:00,hold,long,,,,9149.991799999983,-4.100199999999682,5.599800000001159
72,2024-02-06 05:00:00,hold,long,,,,9149.991799999983,-9.40039999999941,31.499600000001195
73,2024-02-06 06:00:00,hold,long,,,,9149.991799999983,-0.600599999998602,64.999400000002
74,2024-02-06 07:00:00,hold,long,,,,9149.991799999983,12.599200000001899,94.99920000000313
75,2024-02-06 08:00:00,close,neutral,,,100.0,9249.991599999983,17.69900000000209,116.59900000000394
76,2024-02-06 13:00:00,open,short,96.579,,,9249.991399999983,17.69900000000209,116.59900000000394
77,2024-02-06 14:00:00,close,neutral,,,100.0,9349.991199999982,15.898800000002023,122.7988000000037
78,2024-02-06 15:00:00,open,short,96.48,,,9349.990999999982,15.898800000002023,122.7988000000037
79,2024-02-06 16:00:00,close,neutral,,,100.0,9449.990799999981,6.798600000002626,126.59860000000478
80,2024-02-09 02:00:00,open,long,96.91,,,9449.990599999981,0.0,0.0
81,2024-02-09 03:00:00,hold,long,,,,9449.990599999981,-3.500199999999659,5.299799999999727
82,2024-02-09 04:00:00,hold,long,,,,9449.990599999981,-4.3003999999992155,16.39960000000015
83,2024-02-09 05:00:00,hold,long,,,,9449.990599999981,2.299400000001034,29.299400000000638
84,2024-02-09 06:00:00,hold,long,,,,9449.990599999981,8.99920000000176,41.899200000001116
85,2024-02-09 07:00:00,hold,long,,,,9449.990599999981,15.199000000001522,53.19900000000107
86,2024-02-09 08:00:00,hold,long,,,,9449.990599999981,23.398800000002307,70.89880000000174
87,2024-02-09 09:00:00,hold,long,,,,9449.990599999981,38.598600000002406,99.39860000000141
88,2024-02-09 10:00:00,close,neutral,,,100.0,9549.99039999998,62.49840000000284,136.39840000000186
89,2024-02-13 13:00:00,open,short,97.407,,,9549.99019999998,0.0,0.0
90,2024-02-13 14:00:00,hold,short,,,,9549.99019999998,-10.900200000000886,2.8997999999996362
91,2024-02-13 15:00:00,hold,short,,,,9549.99019999998,-25.40040000000191,23.99959999999949
92,2024-02-13 16:00:00,hold,short,,,,9549.99019999998,-24.500600000001874,45.999399999999376
93,2024-02-13 17:00:00,hold,short,,,,9549.99019999998,-13.400800000002874,71.19919999999891
94,2024-02-13 18:00:00,hold,short,,,,9549.99019999998,-13.90100000000384,84.19899999999845
95,2024-02-13 19:00:00,hold,short,,,,9549.99019999998,-9.901200000004636,95.79879999999841
96,2024-02-13 20:00:00,close,neutral,,,100.0,9649.98999999998,-3.8014000000053523,110.9985999999985
97,2024-02-14 21:00:00,open,long,97.717,,,9649.98979999998,0.0,0.0
98,2024-02-14 22:00:00,hold,long,,,,9649.98979999998,-4.900199999999239,3.3998000000006026
99,2024-02-14 23:00:00,hold,long,,,,9649.98979999998,-2.2003999999991364,10.09960000000133
100,2024-02-15 00:00:00,hold,long,,,,9649.98979999998,-5.800199999999273,0.2998000000000114
101,2024-02-15 01:00:00,hold,long,,,,9649.98979999998,-10.100399999998489,13.999600000000058
102,2024-02-15 02:00:00,hold,long,,,,9649.98979999998,-35.70059999999851,26.79940000000007
103,2024-02-15 03:00:00,close,neutral,,,-50.0,9599.989599999979,-76.00079999999909,4.0991999999996835
104,2024-02-16 02:00:00,open,long,97.783,,,9599.989399999979,0.0,0.0
105,2024-02-16 03:00:00,hold,long,,,,9599.989399999979,-8.500200000000795,1.1998000000000455
106,2024-02-16 04:00:00,hold,long,,,,9599.989399999979,-13.600400000000988,12.699599999999535
107,2024-02-16 05:00:00,hold,long,,,,9599.989399999979,-7.800600000001716,26.999399999999603
108,2024-02-16 06:00:00,hold,long,,,,9599.989399999979,1.6991999999981706,41.899199999999695
109,2024-02-16 07:00:00,hold,long,,,,9599.989399999979,12.098999999998092,60.89899999999947
110,2024-02-16 08:00:00,hold,long,,,,9599.989399999979,22.29879999999848,82.29879999999933
111,2024-02-16 09:00:00,close,neutral,,,100.0,9699.989199999978,39.098599999997695,109.89859999999896
112,2024-02-19 15:00:00,open,short,98.049,,,9699.988999999978,0.0,0.0
113,2024-02-19 16:00:00,hold,short,,,,9699.988999999978,-4.700199999999705,1.3998000000010005
114,2024-02-19 17:00:00,hold,short,,,,9699.988999999978,-16.500399999999203,0.09960000000189861
115,2024-02-19 18:00:00,hold,short,,,,9699.988999999978,-26.70059999999817,-6.500599999996931
116,2024-02-19 19:00:00,hold,short,,,,9699.988999999978,-39.90079999999725,-15.000799999996305
117,2024-02-19 20:00:00,close,neutral,,,-50.0,9649.988799999977,-54.10099999999684,-26.60099999999627
118,2024-02-20 10:00:00,open,long,98.358,,,9649.988599999977,0.0,0.0
119,2024-02-20 11:00:00,hold,long,,,,9649.988599999977,-1.100200000000989,14.59980000000008
120,2024-02-20 12:00:00,hold,long,,,,9649.988599999977,3.6995999999991924,30.499599999999262
121,2024-02-20 13:00:00,hold,long,,,,9649.988599999977,10.399399999998499,44.999399999998865
122,2024-02-20 14:00:00,hold,long,,,,9649.988599999977,22.699199999997546,65.0991999999982
123,2024-02-20 15:00:00,hold,long,,,,9649.988599999977,32.69899999999698,90.49899999999727
124,2024-02-20 16:00:00,close,neutral,,,100.0,9749.988399999977,35.998799999997104,113.2987999999967
125,2024-02-21 10:00:00,open,long,98.459,,,9749.988199999976,0.0,0.0
126,2024-02-21 11:00:00,hold,long,,,,9749.988199999976,-11.300199999999954,0.3997999999990678
127,2024-02-21 12:00:00,hold,long,,,,9749.988199999976,-22.100400000000363,-2.8004000000005798
128,2024-02-21 13:00:00,hold,long,,,,9749.988199999976,-39.90060000000009,-10.700600000001353
129,2024-02-21 14:00:00,close,neutral,,,-50.0,9699.987999999976,-59.30080000000035,-21.600800000002238
130,2024-02-23 10:00:00,open,long,98.845,,,9699.987799999975,0.0,0.0
131,2024-02-23 11:00:00,hold,long,,,,9699.987799999975,-9.500199999999886,5.999800000000227
132,2024-02-23 12:00:00,hold,long,,,,9699.987799999975,-16.500399999999203,10.899600000000886
133,2024-02-23 13:00:00,hold,long,,,,9699.987799999975,-14.700599999999135,21.19940000000033
134,2024-02-23 14:00:00,hold,long,,,,9699.987799999975,-9.200799999998452,36.1992000000009
135,2024-02-23 15:00:00,hold,long,,,,9699.987799999975,-7.900999999997929,46.89900000000083
136,2024-02-23 16:00:00,hold,long,,,,9699.987799999975,-15.501199999997269,54.498800000001594
137,2024-02-23 17:00:00,hold,long,,,,9699.987799999975,-28.901399999997302,47.99860000000182
138,2024-02-23 18:00:00,close,neutral,,,-50.0,9649.987599999975,-53.30159999999728,38.498400000001936
139,2024-02-26 16:00:00,open,long,98.545,,,9649.987399999975,0.0,0.0
140,2024-02-26 17:00:00,hold,long,,,,9649.987399999975,-2.80020000000058,2.9998000000001137
141,2024-02-26 18:00:00,hold,long,,,,9649.987399999975,-5.100400000000193,8.099600000000306
142,2024-02-26 19:00:00,hold,long,,,,9649.987399999975,-10.700599999999932,12.899400000000487
143,2024-02-26 20:00:00,hold,long,,,,9649.987399999975,-17.80079999999973,13.299200000000976
144,2024-02-26 21:00:00,hold,long,,,,9649.987399999975,-24.201000000000445,13.099000000001443
145,2024-02-26 22:00:00,hold,long,,,,9649.987399999975,-26.601200000000535,16.598800000001102
146,2024-02-26 23:00:00,hold,long,,,,9649.987399999975,-29.101400000001103,18.698600000001182
147,2024-02-27 00:00:00,hold,long,,,,9649.987399999975,-9.00020000000034,0.5998000000000228
148,2024-02-27 01:00:00,hold,long,,,,9649.987399999975,-20.900400000000317,-0.9004000000000341
149,2024-02-27 02:00:00,hold,long,,,,9649.987399999975,-44.10060000000025,-9.70060000000084
150,2024-02-27 03:00:00,close,neutral,,,-50.0,9599.987199999974,-68.00080000000068,-25.7008000000005
151,2024-02-27 17:00:00,open,short,98.468,,,9599.986999999974,-68.00080000000068,-25.7008000000005
152,2024-02-27 18:00:00,close,neutral,,,-50.0,9549.986799999973,-74.50100000000046,-23.400999999999463
153,2024-02-28 02:00:00,open,long,98.516,,,9549.986599999973,0.0,0.0
154,2024-02-28 03:00:00,hold,long,,,,9549.986599999973,-24.700199999999988,0.4997999999995453
155,2024-02-28 04:00:00,close,neutral,,,-50.0,9499.986399999972,-57.50040000000028,-18.10040000000116
156,2024-02-28 10:00:00,open,short,98.0,,,9499.986199999972,-57.50040000000028,-18.10040000000116
157,2024-02-28 11:00:00,close,neutral,,,-50.0,9449.985999999972,-59.20059999999987,-0.8006000000009763
158,2024-02-28 14:00:00,open,short,97.847,,,9449.985799999971,-59.20059999999987,-0.8006000000009763
159,2024-02-28 15:00:00,close,neutral,,,-50.0,9399.98559999997,-68.20080000000021,0.09919999999905782
160,2024-02-28 18:00:00,open,short,97.867,,,9399.98539999997,-68.20080000000021,0.09919999999905782
161,2024-02-28 19:00:00,close,neutral,,,-50.0,9349.98519999997,-73.50099999999995,2.498999999999149
162,2024-03-01 00:00:00,open,short,97.411,,,9349.98499999997,0.0,0.0
163,2024-03-01 01:00:00,hold,short,,,,9349.98499999997,-18.300199999999272,1.1998000000000455
164,2024-03-01 02:00:00,close,neutral,,,-50.0,9299.98479999997,-50.00039999999858,-12.000400000000454
165,2024-03-01 08:00:00,open,long,97.874,,,9299.984599999969,-50.00039999999858,-12.000400000000454
166,2024-03-01 09:00:00,close,neutral,,,-50.0,9249.984399999968,-52.30059999999819,-2.900599999999635
167,2024-03-01 11:00:00,open,short,97.914,,,9249.984199999968,-52.30059999999819,-2.900599999999635
168,2024-03-01 12:00:00,close,neutral,,,-50.0,9199.983999999968,-54.600799999997804,14.799200000001036
169,2024-03-01 12:00:00,open,short,97.802,,,9199.983799999967,-54.600799999997804,14.799200000001036
170,2024-03-01 13:00:00,close,neutral,,,-50.0,9149.983599999967,-61.90099999999713,15.999000000001082
171,2024-03-01 16:00:00,open,long,97.816,,,9149.983399999966,-61.90099999999713,15.999000000001082
172,2024-03-01 17:00:00,close,neutral,,,-50.0,9099.983199999966,-63.201199999997655,42.09880000000065
173,2024-03-04 04:00:00,open,short,98.019,,,9099.982999999966,0.0,0.0
174,2024-03-04 05:00:00,hold,short,,,,9099.982999999966,-0.2001999999995339,8.199800000000785
175,2024-03-04 06:00:00,hold,short,,,,9099.982999999966,5.599600000001159,20.89960000000174
176,2024-03-04 07:00:00,hold,short,,,,9099.982999999966,9.799400000001317,31.199400000002605
177,2024-03-04 08:00:00,hold,short,,,,9099.982999999966,-0.8007999999981372,40.599200000003435
178,2024-03-04 09:00:00,hold,short,,,,9099.982999999966,-10.70099999999709,40.599000000003436
179,2024-03-04 11:00:00,hold,short,,,,9099.982999999966,-23.101399999996612,56.998600000005005
180,2024-03-04 12:00:00,hold,short,,,,9099.982999999966,-32.901599999996506,59.098400000005086
181,2024-03-04 13:00:00,hold,short,,,,9099.982999999966,-44.401799999995994,53.39820000000629
182,2024-03-04 14:00:00,close,neutral,,,-50.0,9049.982799999965,-55.30199999999546,49.99800000000711
183,2024-03-05 00:00:00,open,short,97.906,,,9049.982599999965,0.0,0.0
184,2024-03-05 01:00:00,hold,short,,,,9049.982599999965,-3.2001999999996475,3.899800000000148
185,2024-03-05 02:00:00,hold,short,,,,9049.982599999965,-6.5003999999983515,9.099600000000818
186,2024-03-05 03:00:00,hold,short,,,,9049.982599999965,-9.500599999998466,17.399400000002082
187,2024-03-05 04:00:00,hold,short,,,,9049.982599999965,-15.500799999997273,30.099200000003037
188,2024-03-05 05:00:00,hold,short,,,,9049.982599999965,-13.900999999996738,39.79900000000388
189,2024-03-05 06:00:00,hold,short,,,,9049.982599999965,-11.40119999999617,47.09880000000463
190,2024-03-05 07:00:00,hold,short,,,,9049.982599999965,-7.501399999996021,71.1986000000046
